id,date,component,condition,damage_severity,condition_confidence,detection_confidence,damage_found,decision,certainty,estimated_value_inr,value_low_inr,value_high_inr,is_sample
18,2026-07-27,Motor,Minor visible damage,0.28,0.82,0.81,crack,Potentially repairable,0.91,35,26,44,1
19,2026-07-28,Battery,No visible damage,0.0,0.59,0.96,,Needs further testing,0.6,108,40,175,1
20,2026-07-28,Capacitor,No visible damage,0.0,0.85,0.68,,Needs further testing,0.6,4,2,7,1
21,2026-07-28,Sensor module,No visible damage,0.0,0.87,0.65,,Potentially reusable,0.65,80,68,92,1
22,2026-07-30,Sensor module,No visible damage,0.0,0.58,0.67,,Potentially repairable,0.72,16,12,20,1
23,2026-07-30,Capacitor,No visible damage,0.0,0.77,0.75,,Recycle / material recovery,0.88,1,1,1,1
24,2026-07-31,Battery,Moderate visible damage,0.54,0.7,0.96,broken,Needs further testing,0.6,93,40,146,1
25,2026-07-31,Sensor module,No visible damage,0.0,0.58,0.78,,Potentially repairable,0.72,16,12,20,1
26,2026-07-31,Battery,No visible damage,0.0,0.63,0.89,,Potentially reusable,0.75,250,212,288,1
27,2026-08-02,Motor,No visible damage,0.0,0.63,0.51,,Potentially reusable,0.59,120,102,138,1
28,2026-08-02,Battery,No visible damage,0.0,0.62,0.62,,Potentially reusable,0.75,250,212,288,1
29,2026-08-03,Battery,No visible damage,0.0,0.78,0.71,,Recycle / material recovery,0.85,24,19,29,1
30,2026-08-03,Sensor module,Moderate visible damage,0.74,0.62,0.8,burn,Needs further testing,0.6,29,8,50,1
31,2026-08-03,Motor,Moderate visible damage,0.71,0.74,0.54,burn,Potentially repairable,0.77,35,26,44,1
32,2026-08-03,Motor,Minor visible damage,0.4,0.82,0.54,"corrosion, crack",Needs further testing,0.54,66,35,96,1
33,2026-08-03,Battery,No visible damage,0.0,0.79,0.95,,Recycle / material recovery,0.9,24,19,29,1
34,2026-08-04,Capacitor,Minor visible damage,0.47,0.73,0.6,corrosion,Potentially reusable,0.8,5,5,6,1
35,2026-08-05,Motor,Moderate visible damage,0.68,0.68,0.96,"corrosion, burn",Needs further testing,0.6,57,35,79,1
36,2026-08-06,Sensor module,Minor visible damage,0.25,0.69,0.62,"broken, burn",Potentially reusable,0.75,70,60,80,1
37,2026-08-06,Battery,Severe visible damage,0.78,0.72,0.6,broken,Needs further testing,0.6,62,40,84,1
38,2026-08-06,Motor,Minor visible damage,0.38,0.85,0.86,"burn, broken",Needs further testing,0.6,66,35,97,1
39,2026-08-06,Battery,No visible damage,0.0,0.7,0.63,,Needs further testing,0.6,120,40,200,1
40,2026-08-06,Battery,Minor visible damage,0.3,0.73,0.65,crack,Needs further testing,0.6,126,40,212,1
41,2026-08-06,Arduino board,Moderate visible damage,0.56,0.57,0.51,"burn, crack",Potentially repairable,0.67,215,161,269,1
42,2026-08-07,Capacitor,Moderate visible damage,0.59,0.76,0.92,"broken, burn",Needs further testing,0.6,5,2,7,1
43,2026-08-07,Battery,Moderate visible damage,0.6,0.59,0.85,crack,Recycle / material recovery,0.79,24,19,29,1
44,2026-08-07,Battery,No visible damage,0.0,0.78,0.61,,Needs further testing,0.6,120,40,200,1
45,2026-08-08,Battery,Moderate visible damage,0.57,0.59,0.51,crack,Recycle / material recovery,0.76,40,32,48,1
46,2026-08-09,Sensor module,Minor visible damage,0.45,0.56,0.61,"crack, corrosion",Needs further testing,0.6,35,8,62,1
47,2026-08-09,Sensor module,No visible damage,0.0,0.79,0.95,,Potentially repairable,0.9,16,12,20,1
48,2026-08-10,Motor,No visible damage,0.0,0.85,0.48,,Needs further testing,0.48,78,35,120,1
49,2026-08-10,Motor,No visible damage,0.0,0.7,0.59,,Needs further testing,0.6,78,35,120,1
50,2026-08-10,Battery,No visible damage,0.0,0.62,0.83,,Potentially reusable,0.75,250,212,288,1
51,2026-08-10,Arduino board,No visible damage,0.0,0.83,0.54,,Potentially reusable,0.69,450,382,518,1
52,2026-08-10,Battery,No visible damage,0.0,0.74,0.46,,Potentially reusable,0.73,250,212,288,1
53,2026-08-11,Motor,No visible damage,0.0,0.85,0.52,,Potentially reusable,0.52,120,102,138,1
54,2026-08-11,Sensor module,Minor visible damage,0.44,0.88,0.89,"corrosion, burn",Needs further testing,0.6,35,8,62,1
55,2026-08-12,Motor,Minor visible damage,0.26,0.68,0.8,corrosion,Potentially reusable,0.79,104,89,120,1
56,2026-08-13,Capacitor,No visible damage,0.0,0.86,0.55,,Recycle / material recovery,0.72,2,2,2,1
57,2026-08-13,Battery,Moderate visible damage,0.53,0.83,0.96,"burn, crack",Recycle / material recovery,0.89,40,32,48,1
58,2026-08-13,Arduino board,Minor visible damage,0.46,0.7,0.78,"corrosion, broken",Potentially reusable,0.85,346,295,398,1
59,2026-08-14,Arduino board,No visible damage,0.0,0.67,0.71,,Potentially reusable,0.73,450,382,518,1
60,2026-08-14,Motor,No visible damage,0.0,0.81,0.57,,Potentially repairable,0.78,35,26,44,1
61,2026-08-15,Battery,No visible damage,0.0,0.62,0.67,,Recycle / material recovery,0.81,24,19,29,1
62,2026-08-15,Battery,Moderate visible damage,0.64,0.65,0.73,burn,Recycle / material recovery,0.82,40,32,48,1
63,2026-08-16,Motor,Moderate visible damage,0.57,0.63,0.67,"burn, broken",Needs further testing,0.6,60,35,86,1
64,2026-08-16,Motor,No visible damage,0.0,0.85,0.65,,Potentially reusable,0.65,120,102,138,1
65,2026-08-17,Capacitor,Minor visible damage,0.46,0.73,0.59,crack,Needs further testing,0.6,5,2,8,1
66,2026-08-17,Battery,Moderate visible damage,0.53,0.6,0.55,burn,Recycle / material recovery,0.78,24,19,29,1
67,2026-08-17,Battery,No visible damage,0.0,0.76,0.73,,Needs further testing,0.6,89,40,138,1
68,2026-08-17,Motor,No visible damage,0.0,0.71,0.78,,Needs further testing,0.6,78,35,120,1
69,2026-08-17,Battery,No visible damage,0.0,0.59,0.78,,Potentially reusable,0.73,250,212,288,1
70,2026-08-18,Motor,Minor visible damage,0.2,0.87,0.54,crack,Needs further testing,0.54,72,35,108,1
71,2026-08-18,Sensor module,No visible damage,0.0,0.82,0.7,,Potentially reusable,0.7,80,68,92,1
72,2026-08-18,Battery,No visible damage,0.0,0.76,0.93,,Needs further testing,0.6,89,40,138,1
73,2026-08-20,Battery,Moderate visible damage,0.52,0.84,0.57,corrosion,Needs further testing,0.6,94,40,148,1
74,2026-08-20,Battery,No visible damage,0.0,0.75,0.95,,Recycle / material recovery,0.88,24,19,29,1
75,2026-08-20,Arduino board,No visible damage,0.0,0.59,0.82,,Potentially reusable,0.66,450,382,518,1
76,2026-08-21,Battery,Minor visible damage,0.45,0.75,0.5,"burn, crack",Potentially reusable,0.67,194,165,223,1
77,2026-08-21,Battery,Moderate visible damage,0.71,0.6,0.7,"crack, broken",Needs further testing,0.6,101,40,161,1
78,2026-08-21,Capacitor,Minor visible damage,0.4,0.87,0.64,corrosion,Needs further testing,0.6,3,2,3,1
79,2026-08-22,Arduino board,No visible damage,0.0,0.78,0.64,,Potentially reusable,0.64,450,382,518,1
80,2026-08-22,Battery,Severe visible damage,0.76,0.59,0.65,leakage,Needs further testing,0.6,82,40,124,1
81,2026-08-23,Battery,Moderate visible damage,0.57,0.59,0.52,"leakage, crack",Needs further testing,0.6,92,40,143,1
82,2026-08-24,Sensor module,No visible damage,0.0,0.87,0.78,,Potentially reusable,0.78,80,68,92,1
83,2026-08-24,Capacitor,Moderate visible damage,0.63,0.61,0.53,broken,Recycle / material recovery,0.71,2,2,2,1
84,2026-08-24,Sensor module,No visible damage,0.0,0.84,0.69,,Potentially repairable,0.84,16,12,20,1
85,2026-08-26,Motor,Minor visible damage,0.24,0.77,0.85,"corrosion, broken",Needs further testing,0.6,70,35,106,1
86,2026-08-27,Arduino board,Moderate visible damage,0.53,0.7,0.49,"burn, corrosion",Needs further testing,0.6,195,60,331,1
87,2026-08-27,Battery,Moderate visible damage,0.56,0.68,0.75,broken,Needs further testing,0.6,110,40,180,1
88,2026-08-27,Sensor module,No visible damage,0.19,0.58,0.83,crack,Potentially repairable,0.79,16,12,20,1
89,2026-08-27,Capacitor,No visible damage,0.0,0.85,0.48,,Potentially reusable,0.74,7,6,8,1
90,2026-08-27,Motor,Severe visible damage,0.78,0.64,0.74,burn,Needs further testing,0.6,54,35,73,1
91,2026-08-28,Battery,Minor visible damage,0.33,0.75,0.45,"leakage, corrosion",Potentially reusable,0.73,209,177,240,1
92,2026-08-28,Sensor module,No visible damage,0.0,0.86,0.9,,Potentially reusable,0.86,80,68,92,1
93,2026-08-28,Capacitor,Moderate visible damage,0.5,0.72,0.47,broken,Needs further testing,0.6,2,2,3,1
94,2026-08-28,Arduino board,Severe visible damage,0.78,0.64,0.61,"corrosion, broken",Recycle / material recovery,0.68,60,48,72,1
95,2026-08-28,Battery,No visible damage,0.0,0.79,0.89,,Needs further testing,0.6,120,40,200,1
96,2026-08-29,Motor,Moderate visible damage,0.62,0.65,0.94,broken,Potentially repairable,0.77,35,26,44,1
97,2026-08-29,Battery,No visible damage,0.19,0.58,0.89,crack,Recycle / material recovery,0.72,24,19,29,1
98,2026-08-29,Arduino board,Moderate visible damage,0.66,0.57,0.49,"crack, broken",Needs further testing,0.6,181,60,301,1
99,2026-08-29,Sensor module,Severe visible damage,0.89,0.73,0.87,burn,Recycle / material recovery,0.82,8,6,10,1
100,2026-08-29,Arduino board,No visible damage,0.0,0.81,0.91,,Potentially reusable,0.81,450,382,518,1
101,2026-08-30,Sensor module,No visible damage,0.0,0.8,0.88,,Potentially repairable,0.87,16,12,20,1
102,2026-08-30,Motor,Moderate visible damage,0.67,0.64,0.9,"broken, burn",Potentially repairable,0.82,35,26,44,1
103,2026-08-30,Battery,Moderate visible damage,0.59,0.69,0.81,leakage,Needs further testing,0.6,82,40,123,1
104,2026-08-30,Motor,Moderate visible damage,0.6,0.67,0.69,"corrosion, burn",Needs further testing,0.6,60,35,84,1
105,2026-08-31,Sensor module,Moderate visible damage,0.56,0.64,0.7,burn,Potentially repairable,0.76,16,12,20,1
106,2026-08-31,Motor,No visible damage,0.0,0.81,0.51,,Potentially reusable,0.51,120,102,138,1
107,2026-09-01,Capacitor,Minor visible damage,0.44,0.81,0.8,leakage,Potentially reusable,0.88,5,5,6,1
108,2026-09-02,Sensor module,No visible damage,0.0,0.75,0.88,,Potentially reusable,0.75,80,68,92,1
109,2026-09-02,Capacitor,Minor visible damage,0.3,0.64,0.7,"burn, leakage",Needs further testing,0.6,3,2,3,1
110,2026-09-02,Arduino board,No visible damage,0.0,0.56,0.48,,Potentially reusable,0.74,450,382,518,1
111,2026-09-02,Battery,No visible damage,0.0,0.8,0.59,,Needs further testing,0.6,89,40,138,1
112,2026-09-02,Sensor module,Moderate visible damage,0.53,0.72,0.55,corrosion,Needs further testing,0.6,33,8,59,1
113,2026-09-02,Battery,Minor visible damage,0.4,0.87,0.75,"broken, leakage",Recycle / material recovery,0.88,24,19,29,1
114,2026-09-02,Battery,No visible damage,0.0,0.82,0.92,,Needs further testing,0.6,89,40,138,1
115,2026-09-03,Battery,No visible damage,0.0,0.79,0.61,,Needs further testing,0.6,89,40,138,1
116,2026-09-03,Arduino board,Minor visible damage,0.29,0.71,0.92,crack,Potentially repairable,0.76,215,161,269,1
117,2026-09-04,Arduino board,Minor visible damage,0.3,0.84,0.49,corrosion,Potentially reusable,0.74,382,325,440,1
118,2026-09-04,Motor,No visible damage,0.0,0.64,0.76,,Potentially repairable,0.82,35,26,44,1
119,2026-09-04,Battery,No visible damage,0.0,0.66,0.7,,Needs further testing,0.6,145,40,250,1
120,2026-09-05,Motor,Minor visible damage,0.36,0.74,0.59,"broken, crack",Needs further testing,0.6,67,35,98,1
121,2026-09-06,Arduino board,Moderate visible damage,0.55,0.63,0.48,"corrosion, burn",Needs further testing,0.6,193,60,326,1
122,2026-09-07,Arduino board,Minor visible damage,0.3,0.61,0.53,"burn, crack",Potentially reusable,0.69,382,325,440,1
123,2026-09-09,Motor,Moderate visible damage,0.59,0.8,0.6,broken,Potentially repairable,0.8,35,26,44,1
124,2026-09-09,Capacitor,Minor visible damage,0.4,0.82,0.73,broken,Needs further testing,0.6,4,2,6,1
125,2026-09-09,Capacitor,No visible damage,0.0,0.61,0.76,,Needs further testing,0.6,4,2,7,1
126,2026-09-09,Motor,No visible damage,0.0,0.8,0.56,,Potentially reusable,0.56,120,102,138,1
127,2026-09-10,Motor,Moderate visible damage,0.72,0.58,0.94,"corrosion, broken",Needs further testing,0.6,56,35,77,1
128,2026-09-10,Battery,Moderate visible damage,0.6,0.75,0.76,"broken, crack",Recycle / material recovery,0.83,40,32,48,1
129,2026-09-10,Capacitor,No visible damage,0.0,0.58,0.89,,Needs further testing,0.6,6,2,10,1
130,2026-09-11,Arduino board,Moderate visible damage,0.65,0.69,0.5,"broken, corrosion",Needs further testing,0.6,182,60,304,1
131,2026-09-11,Arduino board,Moderate visible damage,0.59,0.75,0.57,crack,Needs further testing,0.6,189,60,317,1
132,2026-09-12,Sensor module,No visible damage,0.0,0.85,0.62,,Potentially repairable,0.81,16,12,20,1
133,2026-09-13,Arduino board,No visible damage,0.0,0.58,0.9,,Potentially reusable,0.79,450,382,518,1
134,2026-09-13,Motor,Moderate visible damage,0.55,0.84,0.64,corrosion,Potentially repairable,0.76,35,26,44,1
135,2026-09-13,Arduino board,No visible damage,0.0,0.83,0.58,,Potentially reusable,0.72,450,382,518,1
136,2026-09-13,Motor,Minor visible damage,0.28,0.78,0.49,broken,Needs further testing,0.49,69,35,103,1
137,2026-09-14,Sensor module,Minor visible damage,0.23,0.72,0.57,broken,Needs further testing,0.6,39,8,71,1
138,2026-09-14,Sensor module,No visible damage,0.0,0.71,0.74,,Needs further testing,0.6,44,8,80,1
139,2026-09-14,Sensor module,No visible damage,0.0,0.76,0.66,,Potentially repairable,0.72,16,12,20,1
140,2026-09-15,Sensor module,No visible damage,0.0,0.63,0.8,,Potentially reusable,0.75,80,68,92,1
141,2026-09-16,Sensor module,No visible damage,0.18,0.85,0.74,corrosion,Potentially reusable,0.74,73,62,84,1
142,2026-09-16,Sensor module,No visible damage,0.0,0.8,0.94,,Potentially reusable,0.83,80,68,92,1
143,2026-09-17,Capacitor,Minor visible damage,0.48,0.76,0.55,leakage,Recycle / material recovery,0.78,2,2,2,1
144,2026-09-17,Battery,Moderate visible damage,0.5,0.62,0.77,"crack, corrosion",Needs further testing,0.6,114,40,188,1
145,2026-09-18,Battery,No visible damage,0.0,0.69,0.51,,Needs further testing,0.6,145,40,250,1
146,2026-09-18,Sensor module,No visible damage,0.0,0.59,0.74,,Potentially repairable,0.73,16,12,20,1
147,2026-09-18,Sensor module,Moderate visible damage,0.7,0.85,0.85,broken,Potentially repairable,0.93,16,12,20,1
148,2026-09-18,Capacitor,Moderate visible damage,0.58,0.85,0.77,"burn, corrosion",Recycle / material recovery,0.86,2,2,2,1
149,2026-09-18,Capacitor,No visible damage,0.0,0.79,0.7,,Needs further testing,0.6,3,2,4,1
150,2026-09-19,Arduino board,Minor visible damage,0.25,0.78,0.82,crack,Needs further testing,0.6,227,60,394,1
